Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EmployeeId,EngagementScore,ExperienceBeforeJob,Gender,GenerationGroup,HomeDistanceLabel,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerfSatIndex,StockOptionLevel,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,Travel_Rarely,810,Research & Development,S3,Life Sciences,14,Better,Senior,Female,Gen Y,Long Distance,44,Asisten Manager,Research Director,Single,15992,15901,2,No,14,Medium,0,2,0,0,0
0,Travel_Rarely,616,Research & Development,S1,Medical,15,Good,Junior,Female,Millennials,Medium Distance,41,Asisten Supervisor,Healthcare Representative,Married,5855,17369,0,Yes,11,High,2,2,7,8,5
0,Non-Travel,573,Research & Development,S1,Medical,16,Good,Junior,Female,Millennials,Short Distance,79,Asisten Supervisor,Research Scientist,Divorced,5329,15717,7,Yes,12,High,3,3,11,1,9
0,Travel_Rarely,408,Research & Development,S2,Technical Degree,17,Good,Junior,Female,Millennials,Short Distance,80,Asisten Supervisor,Healthcare Representative,Single,4553,20978,1,No,11,Medium,0,4,7,11,10
0,Travel_Rarely,821,Research & Development,Diploma,Medical,18,Good,Senior,Male,Gen X,Short Distance,86,Manager,Research Director,Married,19406,8509,4,No,11,Low,1,4,2,1,2
0,Travel_Frequently,772,Research & Development,Non-Degree,Life Sciences,19,Better,Junior,Male,Gen Z,Short Distance,77,Asisten Supervisor,Manufacturing Director,Divorced,5206,4973,1,No,17,High,2,6,7,0,7
0,Travel_Rarely,1098,Research & Development,Diploma,Medical,20,Better,Expert,Male,Gen Y,Short Distance,85,Manager,Manager,Married,18711,12124,2,No,13,Medium,1,2,0,0,0
0,Travel_Rarely,691,Research & Development,S1,Medical,21,Better,Junior,Male,Gen Z,Long Distance,89,Entry Level,Research Scientist,Married,2725,21630,1,Yes,11,Medium,2,3,5,1,4
0,Travel_Rarely,302,Research & Development,S1,Life Sciences,22,Better,Junior,Female,Millennials,Short Distance,75,Asisten Manager,Manufacturing Director,Single,13237,20364,7,No,15,Medium,0,3,6,5,13
0,Non-Travel,267,Sales,Diploma,Life Sciences,23,Better,Junior,Male,Gen Y,Short Distance,56,Asisten Supervisor,Sales Executive,Single,6230,13430,7,No,14,Very High,0,3,3,1,10
0,Travel_Rarely,588,Sales,Diploma,Technical Degree,24,Good,Junior,Female,Millennials,Short Distance,65,Asisten Supervisor,Sales Executive,Married,5228,24624,1,Yes,11,High,0,2,12,11,9
1,Travel_Rarely,813,Research & Development,S1,Medical,25,Good,Junior,Male,Gen Z,Short Distance,61,Entry Level,Research Scientist,Married,2293,3020,2,Yes,16,Medium,1,2,0,2,0
0,Travel_Rarely,722,Research & Development,S2,Life Sciences,26,Good,Junior,Female,Gen Y,Long Distance,84,Entry Level,Laboratory Technician,Married,3211,22102,1,No,14,Medium,1,3,6,1,4
0,Travel_Rarely,350,Research & Development,Diploma,Technical Degree,27,Good,Junior,Male,Gen Z,Long Distance,57,Entry Level,Laboratory Technician,Divorced,2296,10036,0,No,14,Medium,3,3,1,0,0
0,Travel_Rarely,412,Research & Development,S2,Medical,28,Good,Junior,Female,Millennials,Medium Distance,94,Asisten Manager,Manager,Divorced,17123,17334,6,Yes,13,High,2,4,9,15,2
0,Travel_Rarely,818,Human Resources,Diploma,Medical,29,Good,Junior,Male,Gen X,Short Distance,52,Entry Level,Human Resources,Married,2267,25657,8,No,17,High,0,2,2,2,2
0,Travel_Rarely,1176,Human Resources,S2,Life Sciences,30,Better,Expert,Female,Gen Y,Long Distance,98,Manager,Manager,Married,19658,5220,3,No,11,High,1,2,2,1,0
0,Travel_Rarely,1425,Research & Development,Non-Degree,Life Sciences,31,Good,Junior,Male,Millennials,Medium Distance,68,Asisten Supervisor,Healthcare Representative,Married,6586,4821,0,Yes,17,Medium,1,2,8,4,11
0,Travel_Rarely,853,Research & Development,S2,Life Sciences,32,Good,Junior,Male,Gen Z,Short Distance,49,Asisten Supervisor,Laboratory Technician,Divorced,3491,11309,1,No,13,Medium,3,4,7,8,9
0,Travel_Rarely,433,Human Resources,S1,Human Resources,33,Better,Junior,Male,Millennials,Short Distance,37,Entry Level,Human Resources,Married,2844,6004,1,No,13,High,1,2,6,5,0
1,Travel_Frequently,1496,Sales,S1,Technical Degree,34,Better,Junior,Male,Gen Z,Short Distance,92,Entry Level,Sales Representative,Married,2909,15747,3,No,15,Medium,1,3,2,1,2
0,Travel_Rarely,192,Research & Development,S2,Life Sciences,35,Good,Junior,Male,Millennials,Short Distance,32,Entry Level,Research Scientist,Divorced,2695,7747,0,Yes,18,High,1,2,2,2,2
0,Non-Travel,845,Sales,S3,Medical,36,Better,Mid-level,Female,Millennials,Short Distance,45,Asisten Supervisor,Sales Executive,Single,6653,15276,4,No,15,High,0,6,0,0,0
0,Travel_Rarely,427,Research & Development,S1,Medical,37,Better,Junior,Male,Millennials,Short Distance,33,Asisten Supervisor,Manufacturing Director,Married,6162,10877,1,Yes,22,Medium,1,3,8,7,8
0,Travel_Rarely,990,Research & Development,S1,Technical Degree,38,Better,Junior,Male,Gen Y,Long Distance,87,Entry Level,Laboratory Technician,Divorced,4876,5855,5,No,12,High,1,0,4,0,2
0,Non-Travel,120,Sales,S1,Medical,39,Better,Junior,Male,Gen Z,Short Distance,43,Asisten Supervisor,Sales Executive,Married,4221,8863,1,No,15,Medium,0,3,4,0,4
1,Travel_Rarely,249,Sales,S2,Life Sciences,40,Good,Junior,Male,Millennials,Short Distance,76,Asisten Supervisor,Sales Executive,Married,6172,20739,4,Yes,18,Medium,0,3,7,7,7
0,Travel_Rarely,316,Sales,S2,Marketing,41,Better,Junior,Male,Gen Y,Short Distance,54,Entry Level,Sales Representative,Married,3875,9983,7,No,15,High,1,2,2,2,2
0,Travel_Rarely,1132,Research & Development,S1,Medical,42,Better,Junior,Male,Millennials,Short Distance,48,Supervisor,Healthcare Representative,Divorced,9613,10942,0,No,17,Medium,3,5,10,3,7
0,Travel_Rarely,809,Research & Development,S1,Medical,43,Better,Junior,Male,Millennials,Medium Distance,84,Entry Level,Laboratory Technician,Married,2426,16479,0,No,13,Medium,1,5,4,0,3
0,Travel_Frequently,379,Sales,Diploma,Life Sciences,44,Better,Junior,Male,Millennials,Short Distance,48,Asisten Supervisor,Sales Executive,Married,6524,8891,1,No,14,Medium,1,3,8,5,3
1,Travel_Rarely,1330,Research & Development,S1,Medical,45,Better,Junior,Male,Gen Z,Long Distance,37,Entry Level,Laboratory Technician,Divorced,2377,19373,1,No,20,Medium,1,0,1,0,0
0,Travel_Rarely,288,Research & Development,S1,Life Sciences,46,Good,Junior,Male,Gen Z,Short Distance,99,Asisten Supervisor,Healthcare Representative,Married,4152,15830,1,No,19,Medium,3,3,10,10,8
0,Travel_Rarely,345,Sales,Diploma,Life Sciences,47,Better,Junior,Female,Millennials,Short Distance,100,Asisten Supervisor,Sales Executive,Married,5343,5982,1,No,11,Medium,1,1,7,1,9
0,Travel_Rarely,330,Human Resources,S1,Life Sciences,48,Better,Junior,Male,Gen Z,Short Distance,46,Entry Level,Human Resources,Divorced,2064,15428,0,No,21,Medium,1,3,3,1,3
0,Travel_Frequently,216,Research & Development,S1,Life Sciences,49,Better,Junior,Male,Millennials,Long Distance,44,Supervisor,Manufacturing Director,Single,9526,8787,0,No,21,High,0,2,7,1,8
0,Travel_Rarely,1343,Sales,Non-Degree,Technical Degree,50,Better,Junior,Male,Gen Z,Long Distance,49,Entry Level,Sales Representative,Single,3447,24444,1,No,11,High,0,2,2,1,2
0,Travel_Rarely,950,Research & Development,S1,Other,51,Better,Mid-level,Male,Millennials,Short Distance,59,Supervisor,Manufacturing Director,Single,10221,18869,3,No,21,Medium,0,3,5,1,6
0,Travel_Rarely,264,Sales,S1,Marketing,52,Better,Expert,Male,Gen Y,Short Distance,59,Manager,Manager,Married,19331,19519,4,Yes,16,High,1,2,0,0,0
0,Travel_Frequently,426,Research & Development,S2,Life Sciences,53,Better,Junior,Male,Millennials,Short Distance,42,Asisten Supervisor,Manufacturing Director,Divorced,4724,17000,1,No,13,Medium,1,3,7,7,2
0,Travel_Frequently,1479,Research & Development,S1,Life Sciences,54,Good,Junior,Female,Gen Z,Short Distance,84,Asisten Supervisor,Manufacturing Director,Divorced,6397,26767,1,No,20,Medium,1,6,5,1,4
1,Travel_Frequently,523,Research & Development,S1,Life Sciences,55,Good,Junior,Male,Millennials,Short Distance,94,Entry Level,Laboratory Technician,Married,3722,21081,6,Yes,13,High,1,2,2,2,2
0,Travel_Rarely,241,Research & Development,S1,Medical,56,Good,Junior,Male,Gen Z,Short Distance,48,Entry Level,Research Scientist,Married,2141,5348,1,No,12,Medium,1,3,4,1,1
0,Travel_Rarely,1062,Research & Development,S1,Medical,57,Better,Junior,Female,Millennials,Short Distance,75,Entry Level,Laboratory Technician,Married,2370,3956,1,No,13,Medium,1,4,0,0,7
0,Travel_Rarely,929,Sales,S1,Marketing,58,Good,Junior,Male,Millennials,Short Distance,55,Asisten Supervisor,Sales Executive,Single,5396,21703,1,No,12,Very High,0,2,7,0,8
0,Travel_Rarely,1303,Research & Development,S2,Life Sciences,59,Good,Mid-level,Male,Millennials,Short Distance,62,Entry Level,Research Scientist,Divorced,2768,8416,3,No,12,High,1,3,3,5,7
0,Travel_Frequently,553,Research & Development,S2,Life Sciences,60,Better,Junior,Female,Millennials,Short Distance,74,Supervisor,Manager,Married,11878,23364,6,No,11,Medium,2,2,6,8,8
0,Travel_Rarely,983,Research & Development,Diploma,Medical,61,Better,Senior,Female,Gen Y,Short Distance,65,Asisten Supervisor,Manufacturing Director,Divorced,5070,7389,5,No,13,Medium,3,2,0,0,4
0,Travel_Rarely,660,Sales,Non-Degree,Life Sciences,62,Better,Junior,Male,Millennials,Short Distance,76,Entry Level,Sales Representative,Married,2404,16192,1,No,13,Medium,1,3,0,0,0
0,Travel_Rarely,921,Research & Development,S1,Life Sciences,63,Good,Junior,Male,Gen Z,Short Distance,38,Entry Level,Laboratory Technician,Married,3833,24375,3,No,21,High,2,2,2,0,2
0,Travel_Rarely,1145,Research & Development,S1,Medical,64,Good,Mid-level,Female,Gen X,Short Distance,75,Entry Level,Research Scientist,Married,3346,11873,4,Yes,20,Medium,1,3,0,0,0
1,Travel_Rarely,625,Sales,S2,Life Sciences,65,Good,Junior,Male,Millennials,Short Distance,46,Supervisor,Sales Executive,Married,10609,14922,5,No,11,Medium,0,2,1,11,7
0,Travel_Rarely,1005,Research & Development,Diploma,Technical Degree,66,Good,Junior,Female,Gen Y,Long Distance,48,Asisten Manager,Research Director,Single,16704,17119,1,No,11,High,0,2,6,8,6
0,Non-Travel,585,Sales,S2,Life Sciences,67,Good,Mid-level,Male,Gen X,Long Distance,40,Entry Level,Sales Representative,Divorced,3482,19788,2,No,15,Medium,2,3,8,0,0
0,Travel_Rarely,1380,Research & Development,Diploma,Life Sciences,68,Better,Junior,Female,Millennials,Short Distance,75,Entry Level,Laboratory Technician,Single,2288,6319,1,No,12,High,0,3,2,2,1
1,Travel_Rarely,1372,Sales,S1,Marketing,69,Good,Junior,Female,Gen Y,Short Distance,85,Asisten Supervisor,Sales Executive,Single,5346,9489,8,No,13,Medium,0,2,3,1,3
0,Travel_Rarely,728,Sales,Non-Degree,Medical,70,Better,Junior,Female,Gen Z,Long Distance,36,Asisten Supervisor,Sales Representative,Married,3540,7018,1,No,21,High,1,5,8,5,8
0,Travel_Frequently,322,Research & Development,Diploma,Medical,71,Better,Senior,Female,Gen X,Long Distance,59,Asisten Manager,Manufacturing Director,Married,13247,9731,2,Yes,11,High,1,3,3,0,2
0,Travel_Rarely,271,Research & Development,Diploma,Medical,72,Better,Mid-level,Female,Gen Y,Short Distance,43,Asisten Supervisor,Laboratory Technician,Married,4789,23070,4,No,25,Low,1,3,2,1,2
0,Travel_Rarely,1488,Sales,S3,Marketing,73,Better,Junior,Female,Gen Y,Short Distance,75,Asisten Supervisor,Sales Executive,Divorced,5454,4009,5,Yes,21,Medium,1,2,3,1,3
0,Travel_Rarely,142,Research & Development,S1,Life Sciences,74,Good,Mid-level,Male,Gen X,Short Distance,70,Entry Level,Research Scientist,Married,2177,8456,3,No,17,Medium,1,6,0,0,0
0,Travel_Rarely,605,Sales,S1,Life Sciences,75,Good,Expert,Female,Gen X,Long Distance,72,Asisten Manager,Manager,Married,17875,11761,4,Yes,13,High,1,2,0,0,0
0,Travel_Rarely,471,Research & Development,S1,Medical,76,Better,Junior,Female,Millennials,Short Distance,62,Entry Level,Laboratory Technician,Divorced,3978,16031,8,No,12,Medium,1,0,2,2,2
0,Non-Travel,926,Research & Development,Diploma,Medical,77,Better,Mid-level,Female,Gen Y,Long Distance,36,Asisten Supervisor,Manufacturing Director,Divorced,5265,16439,2,No,16,Medium,1,5,3,0,2
0,Travel_Rarely,561,Sales,S1,Other,78,Better,Junior,Male,Gen Y,Short Distance,61,Asisten Supervisor,Sales Executive,Married,4805,16177,0,No,19,Medium,1,3,7,3,7
0,Travel_Rarely,1079,Sales,Diploma,Medical,79,Better,Junior,Female,Millennials,Short Distance,86,Asisten Supervisor,Sales Executive,Divorced,6583,20115,2,Yes,11,High,1,2,2,1,4
0,Travel_Rarely,1130,Research & Development,S1,Life Sciences,80,Better,Junior,Female,Millennials,Short Distance,66,Asisten Supervisor,Research Scientist,Divorced,5433,19332,1,No,12,High,1,2,8,7,9
1,Travel_Rarely,1427,Research & Development,Non-Degree,Other,81,Good,Junior,Female,Gen Z,Medium Distance,65,Entry Level,Research Scientist,Single,2693,8870,1,No,19,High,0,3,0,0,0
0,Travel_Rarely,885,Research & Development,S1,Medical,82,Better,Junior,Male,Gen Z,Short Distance,58,Entry Level,Research Scientist,Married,2819,8544,2,No,16,Low,1,3,2,0,2
0,Travel_Rarely,207,Research & Development,S2,Life Sciences,83,Better,Junior,Female,Gen Y,Short Distance,64,Entry Level,Laboratory Technician,Single,2105,5411,4,No,12,Medium,0,2,2,2,0
0,Travel_Rarely,1147,Sales,S1,Marketing,84,Better,Mid-level,Female,Gen X,Short Distance,52,Asisten Supervisor,Sales Executive,Married,5940,17011,2,No,14,High,1,4,2,0,5
0,Travel_Rarely,509,Research & Development,Diploma,Technical Degree,85,Better,Junior,Female,Gen Y,Short Distance,43,Entry Level,Research Scientist,Married,3376,18863,1,No,13,Medium,0,3,6,0,8
0,Travel_Rarely,1038,Research & Development,S1,Medical,86,Good,Senior,Male,Gen Y,Medium Distance,95,Supervisor,Healthcare Representative,Divorced,10851,19863,2,Yes,18,Low,1,2,7,0,7
0,Travel_Rarely,1120,Sales,S2,Marketing,87,Good,Junior,Female,Millennials,Medium Distance,100,Asisten Supervisor,Sales Executive,Married,6652,14369,4,No,13,Medium,1,2,3,0,0
0,Non-Travel,1052,Sales,S1,Medical,88,Good,Junior,Female,Gen Y,Short Distance,57,Supervisor,Sales Executive,Single,8865,16840,6,No,12,Very High,0,2,7,12,8
0,Travel_Rarely,1254,Sales,S1,Life Sciences,89,Better,Mid-level,Female,Gen Y,Short Distance,64,Supervisor,Sales Executive,Married,7314,14011,5,No,21,Medium,3,2,7,0,7
0,Travel_Rarely,419,Sales,S2,Marketing,90,Better,Senior,Male,Gen Y,Medium Distance,77,Asisten Supervisor,Sales Executive,Divorced,5087,2900,3,Yes,12,High,2,4,0,0,0
0,Travel_Rarely,1157,Research & Development,Diploma,Medical,91,Better,Junior,Male,Millennials,Short Distance,57,Asisten Supervisor,Laboratory Technician,Married,3986,11912,1,No,14,High,1,3,10,4,13
0,Travel_Rarely,783,Research & Development,S2,Medical,92,Better,Senior,Male,Millennials,Short Distance,78,Asisten Supervisor,Research Scientist,Married,4284,13588,5,Yes,22,Medium,1,2,3,0,4
0,Travel_Rarely,111,Sales,Diploma,Life Sciences,93,Better,Expert,Male,Gen X,Short Distance,70,Supervisor,Sales Executive,Married,10239,18092,3,No,14,High,1,4,0,1,0
0,Non-Travel,457,Research & Development,Diploma,Other,94,Good,Junior,Female,Gen Z,Long Distance,85,Entry Level,Research Scientist,Married,2814,10293,1,Yes,14,Medium,0,2,2,1,3
0,Travel_Frequently,1069,Research & Development,Non-Degree,Life Sciences,95,Good,Junior,Male,Millennials,Short Distance,45,Asisten Supervisor,Manufacturing Director,Married,9547,14074,1,No,17,High,0,2,9,1,9
0,Travel_Rarely,136,Research & Development,S1,Life Sciences,96,Good,Junior,Male,Gen Z,Short Distance,89,Asisten Supervisor,Healthcare Representative,Married,5373,6225,0,No,12,Low,1,5,3,0,2
0,Travel_Rarely,405,Research & Development,Diploma,Life Sciences,97,Better,Junior,Male,Gen X,Short Distance,93,Asisten Supervisor,Research Scientist,Married,4900,2721,0,No,24,Medium,1,2,9,2,8
0,Travel_Rarely,1168,Sales,S2,Life Sciences,98,Good,Senior,Male,Gen X,Long Distance,66,Supervisor,Sales Executive,Single,10448,5843,6,Yes,13,Low,0,2,2,2,2
0,Travel_Rarely,147,Research & Development,S2,Medical,99,Better,Junior,Female,Millennials,Short Distance,47,Entry Level,Research Scientist,Married,2622,13248,6,No,21,High,0,3,2,1,1
0,Non-Travel,300,Research & Development,S1,Life Sciences,100,Better,Junior,Male,Millennials,Short Distance,61,Entry Level,Laboratory Technician,Divorced,2314,9148,0,No,12,High,1,2,0,0,2
1,Travel_Frequently,251,Research & Development,Diploma,Life Sciences,101,Good,Junior,Female,Gen Z,Short Distance,45,Entry Level,Laboratory Technician,Single,2625,25308,1,No,20,Medium,0,2,2,2,2
1,Travel_Frequently,296,Sales,Diploma,Marketing,102,Good,Junior,Female,Millennials,Short Distance,33,Entry Level,Sales Representative,Divorced,2351,12253,0,No,16,High,1,3,2,1,0
0,Travel_Rarely,1441,Research & Development,S1,Technical Degree,103,Good,Junior,Male,Gen X,Long Distance,94,Entry Level,Research Scientist,Divorced,3537,23737,5,No,12,Medium,1,1,2,1,2
0,Travel_Frequently,1242,Sales,S1,Life Sciences,104,Better,Junior,Female,Gen Z,Medium Distance,90,Asisten Supervisor,Sales Executive,Single,9981,12916,1,No,14,High,0,2,7,0,7
0,Travel_Rarely,1319,Sales,S1,Technical Degree,105,Better,Mid-level,Female,Gen Y,Short Distance,45,Asisten Manager,Sales Executive,Divorced,13225,7739,2,No,12,Medium,1,5,17,2,8
0,Travel_Rarely,917,Research & Development,S2,Life Sciences,106,Good,Junior,Male,Millennials,Short Distance,60,Entry Level,Laboratory Technician,Divorced,2741,6865,1,No,14,High,1,4,7,1,7
1,Travel_Rarely,1360,Research & Development,S1,Technical Degree,107,Better,Junior,Female,Gen Y,Medium Distance,49,Manager,Research Director,Married,19545,16280,1,No,12,High,0,0,15,15,8
0,Travel_Frequently,1189,Research & Development,S1,Life Sciences,108,Better,Mid-level,Male,Millennials,Short Distance,90,Asisten Supervisor,Research Scientist,Married,4735,9867,7,No,15,Very High,2,4,11,2,9
0,Travel_Frequently,1296,Research & Development,S1,Life Sciences,109,Good,Junior,Male,Millennials,Short Distance,30,Asisten Supervisor,Healthcare Representative,Divorced,7725,5335,3,No,23,High,1,2,11,4,7
1,Non-Travel,247,Research & Development,Non-Degree,Medical,110,Better,Junior,Male,Gen Z,Short Distance,80,Entry Level,Laboratory Technician,Single,1904,13556,1,No,12,High,0,0,0,0,0
0,Travel_Rarely,894,Research & Development,S1,Medical,111,Good,Junior,Female,Gen Z,Short Distance,99,Entry Level,Research Scientist,Single,2279,11781,1,No,16,High,0,2,7,0,3
0,Travel_Rarely,1230,Research & Development,Diploma,Life Sciences,112,Good,Junior,Male,Gen Z,Short Distance,33,Asisten Supervisor,Manufacturing Director,Married,4775,19146,6,No,22,High,2,2,2,2,2
1,Travel_Rarely,813,Research & Development,S1,Medical,113,Good,Junior,Male,Millennials,Medium Distance,58,Entry Level,Laboratory Technician,Married,2436,22149,5,Yes,13,High,1,2,4,0,4
0,Travel_Frequently,1368,Research & Development,S2,Technical Degree,114,Better,Junior,Female,Gen Y,Long Distance,88,Asisten Supervisor,Healthcare Representative,Married,4523,4386,0,No,11,Very High,3,4,5,0,4
0,Travel_Frequently,806,Research & Development,S2,Life Sciences,115,Good,Junior,Male,Gen Z,Short Distance,76,Entry Level,Research Scientist,Divorced,2720,18959,1,No,18,High,1,5,7,2,8
0,Non-Travel,792,Research & Development,S1,Life Sciences,116,Better,Junior,Male,Millennials,Short Distance,77,Asisten Supervisor,Laboratory Technician,Married,6472,8989,1,Yes,15,Very High,1,2,8,5,8
0,Travel_Rarely,817,Research & Development,S1,Medical,117,Good,Junior,Female,Millennials,Short Distance,60,Asisten Supervisor,Laboratory Technician,Married,5363,10846,0,No,12,High,1,0,7,0,0
0,Travel_Rarely,305,Research & Development,S1,Life Sciences,118,Better,Junior,Male,Gen Z,Medium Distance,58,Asisten Supervisor,Healthcare Representative,Married,5294,9128,3,No,16,High,1,3,0,1,7
0,Non-Travel,142,Sales,S2,Medical,119,Better,Junior,Male,Millennials,Short Distance,69,Supervisor,Sales Executive,Divorced,8834,24666,1,No,13,Medium,1,6,5,7,7
0,Travel_Rarely,170,Research & Development,Diploma,Medical,120,Good,Junior,Male,Millennials,Short Distance,76,Asisten Supervisor,Laboratory Technician,Divorced,3069,10302,0,No,15,High,1,3,8,0,7
1,Travel_Rarely,266,Sales,Non-Degree,Marketing,121,Good,Junior,Female,Gen X,Short Distance,57,Manager,Manager,Married,19845,25846,1,No,15,High,1,3,14,6,9
0,Travel_Rarely,218,Sales,S1,Technical Degree,122,Better,Junior,Male,Millennials,Short Distance,100,Asisten Supervisor,Sales Executive,Married,6929,12241,4,No,11,Medium,1,3,7,7,7
0,Travel_Rarely,1396,Sales,S1,Life Sciences,123,Better,Junior,Male,Gen Z,Short Distance,99,Entry Level,Sales Representative,Single,2642,2755,1,No,11,High,0,6,0,0,0
0,Travel_Rarely,329,Research & Development,S1,Medical,124,Better,Junior,Male,Gen Z,Long Distance,51,Entry Level,Laboratory Technician,Married,2408,7324,1,Yes,17,Medium,3,3,1,0,0
0,Travel_Rarely,157,Research & Development,S1,Medical,125,Good,Junior,Male,Gen Z,Short Distance,95,Entry Level,Laboratory Technician,Single,2867,20006,0,No,13,Medium,0,6,7,7,6
1,Non-Travel,1474,Sales,S2,Other,126,Better,Junior,Male,Millennials,Medium Distance,60,Asisten Supervisor,Sales Executive,Married,4707,23914,8,No,12,High,0,2,2,1,2
0,Non-Travel,1097,Research & Development,Diploma,Medical,127,Good,Mid-level,Male,Millennials,Medium Distance,79,Supervisor,Healthcare Representative,Married,9884,8302,2,Yes,13,Medium,1,3,0,2,3
0,Travel_Rarely,920,Research & Development,S1,Life Sciences,128,Good,Senior,Male,Gen Y,Short Distance,96,Manager,Research Director,Married,19740,18625,3,No,14,High,1,2,7,0,7
0,Travel_Rarely,134,Research & Development,S1,Life Sciences,129,Better,Junior,Male,Millennials,Short Distance,90,Entry Level,Research Scientist,Single,2500,10515,0,No,14,Medium,0,2,1,0,2
0,Travel_Rarely,921,Research & Development,S1,Life Sciences,130,Better,Junior,Female,Gen Y,Short Distance,96,Supervisor,Healthcare Representative,Married,7879,14810,1,Yes,19,High,1,2,7,6,7
0,Travel_Rarely,930,Sales,S1,Life Sciences,131,Good,Mid-level,Male,Gen Y,Short Distance,57,Asisten Supervisor,Sales Executive,Divorced,8938,12227,2,No,11,Medium,1,5,4,0,4
0,Travel_Frequently,1297,Research & Development,S2,Medical,132,Better,Mid-level,Male,Gen Y,Short Distance,44,Asisten Supervisor,Healthcare Representative,Single,5399,14511,4,No,12,Medium,0,3,2,0,3
0,Travel_Rarely,309,Sales,S2,Life Sciences,133,Good,Mid-level,Female,Millennials,Short Distance,88,Asisten Supervisor,Sales Executive,Divorced,6694,24223,2,Yes,14,High,3,5,0,0,0
1,Travel_Rarely,135,Research & Development,S2,Life Sciences,134,Better,Junior,Female,Gen Z,Medium Distance,51,Entry Level,Research Scientist,Single,2394,25681,1,Yes,13,High,0,2,2,7,7
0,Travel_Rarely,1451,Research & Development,Non-Degree,Life Sciences,135,Good,Junior,Male,Gen Z,Short Distance,67,Entry Level,Research Scientist,Married,3201,19911,0,No,17,Low,0,2,3,0,4
0,Travel_Frequently,294,Research & Development,Diploma,Life Sciences,136,Better,Junior,Male,Gen Z,Short Distance,32,Supervisor,Manufacturing Director,Divorced,8793,4809,1,No,21,Medium,2,4,7,1,7
0,Travel_Rarely,342,Sales,S2,Marketing,137,Good,Mid-level,Male,Millennials,Medium Distance,66,Asisten Supervisor,Sales Executive,Divorced,6334,24558,4,No,19,High,2,2,0,0,0
0,Travel_Rarely,199,Research & Development,S1,Life Sciences,138,Good,Junior,Male,Gen Z,Short Distance,55,Entry Level,Research Scientist,Married,2539,7950,1,No,13,High,1,0,2,2,2
